address,postcode,latitude,longitude,restaurant_count,restaurant_rating,restaurant_price,arts_count,grocery_count,walk,transit,bike
650 Newport Dr,15235,40.452877,-79.82739,10,3.6,1.444444444,1,2,38,20,
3555 Colby St,15214,40.48614,-80.005325,0,0,0,3,,6,40,2
137 Johnston Ave,15207,40.4067,-79.94156,4,3.875,2,1,2,50,35,23
4300 Bristol St,15207,40.42029,-79.945625,7,3.428571429,1.5,0,1,54,38,32
725 Washington Boulevard Ext,15237,40.551987,-80.047485,3,4.333333333,1.5,1,1,54,48,26
116 Delaney Dr,15235,40.43192,-79.80777,13,3.461538462,1.555555556,3,4,44,28,
5084 W Harbison Rd,15205,40.43748,-80.122406,1,4,0,0,,5,14,
1301 Chelton Ave,15226,40.38895,-80.01309,14,3.642857143,1.25,1,1,64,38,23
1914 Remington Dr,15221,40.44955,-79.868645,9,3.833333333,1.5,0,2,59,44,31
5300 Fieldcrest Dr,15236,40.354893,-80.00594,11,3.045454545,1.4,1,2,45,20,24
7111 Church St,15218,40.420486,-79.89474,22,3.25,1.352941176,6,2,62,52,
131 Richey Ave,15214,40.486713,-80.01351,1,4.5,0,3,,22,40,15
121 Lilac Ave,15229,40.52502,-80.05139,1,3,2,,2,6,24,5
1009 Voskamp St,15212,40.45803,-79.993385,42,3.7,1.666666667,20,9,77,53,70
809 Jane St,15239,40.492016,-79.77576,5,3.4,1.25,,0,31,28,11
6623 Kinsman Rd,15217,40.44542,-79.914185,51,3.6,1.8,8,5,61,53,82
4013 Howley St,15224,40.463875,-79.95684,89,3.675,1.5625,20,6,90,61,85
1450 Wightman St,15217,40.441406,-79.92825,81,3.925,1.5,13,5,59,56,63
188 Goldsmith Rd,15237,40.519485,-79.99344,9,3.444444444,1.666666667,,,1,27,
5127 Holmes St,15201,40.478306,-79.952705,32,4,1.588235294,20,2,76,44,46
522 Malabar Dr,15239,40.457516,-79.7179,6,2.833333333,1.5,,1,17,20,9
6917 Churchland St,15206,40.472977,-79.897896,0,0,0,0,0,18,35,16
181 Penhurst Dr,15235,40.42975,-79.82145,14,3.857142857,1.375,2,2,3,26,
8 Hodgson Ave,15205,40.44388,-80.064415,22,3.85,1.333333333,3,1,47,48,26
116 Schuchert St,15210,40.407845,-79.997406,8,2.75,1.166666667,1,1,37,61,22
211 Fawn Ct,15239,40.460796,-79.72218,4,3.125,1.5,,0,2,16,
130 Overlook Dr,15216,40.38952,-80.05071,39,3.675,1.6,6,3,71,45,
101 Tree Line Ct,15237,40.526325,-80.079575,0,0,0,,3,4,0,5
434 E Burgess St,15214,40.46873,-80.00486,4,4.375,2,4,1,36,43,29
1417 Junior Dr,15227,40.360382,-79.9657,2,2.25,2,1,,32,31,11
106 Sheridan Ave,15202,40.493267,-80.05791,35,3.075,1.176470588,3,2,73,41,
328 Crimson Dr,15237,40.546978,-80.09266,1,3.5,2,,,1,0,
127 Steeplechase Ct,15236,40.369408,-80.001625,12,2.916666667,1.545454545,,2,14,47,13
29 Overlook Dr,15238,40.53776,-79.856186,0,0,0,1,,0,25,
2286 Rose Garden Rd,15220,40.406227,-80.04096,25,3.5,1.473684211,2,4,30,42,20
1419 Dickson St,15212,40.469185,-80.03249,10,3.75,1.2,2,1,46,42,34
358 Hawthorne Ct,15237,40.54321,-80.01873,32,2.925,1.588235294,6,3,39,42,23
130 Lilmont Dr,15218,40.41426,-79.870514,14,4.214285714,1.777777778,2,,19,50,9
2560 Allender Ave,15220,40.406494,-80.04686,11,3.318181818,1.636363636,1,3,34,35,27
606 Whispering Pines Dr,15238,40.53803,-79.88647,0,0,0,0,,2,0,
1627-1629 Laketon Rd,15221,40.44865,-79.86976,9,3.833333333,1.5,0,1,59,44,31
15 Old Timber Trl,15238,40.535526,-79.867355,0,0,0,,,0,0,2
5696 Villahaven Dr,15236,40.34711,-80.0127,2,3.25,1,2,4,21,15,
982 Elizabeth St,15221,40.42387,-79.838036,8,3,1.166666667,1,2,14,23,
9510 Highland Rd,15237,40.577286,-80.05629,5,4,2,1,1,35,0,
820 Fordham Ave,15226,40.391224,-80.02336,20,3.575,1.315789474,2,3,72,38,37
4739 McKee Dr,15236,40.348625,-80.00614,10,3,1.444444444,1,2,23,17,
3036 Glen Mawr St,15204,40.457706,-80.05335,5,3.9,1.333333333,2,1,52,49,23
181 Hinkel Rd,15229,40.512985,-80.04003,12,3.25,1.333333333,1,2,55,38,29
1536 Cooper Ave,15212,40.483624,-80.03979,11,3.181818182,1.428571429,0,1,51,43,57
6912 Church St,15218,40.419174,-79.896515,19,3.263157895,1.176470588,6,3,44,53,
243 Meier Ln,15223,40.517597,-79.96428,8,3.625,1,0,,2,23,
110 Clearfield Pl,15204,40.453335,-80.072815,1,2.5,2,0,1,7,39,4
1420 Harris Ave,15205,40.433563,-80.055244,20,2.775,1.117647059,3,1,52,38,25
1256 Fernridge Dr,15241,40.34495,-80.09674,1,4,2,0,,11,24,1
4606 Plummer St,15201,40.473866,-79.95981,68,3.925,1.631578947,20,4,86,48,70
54 Lemoyne Ave,15228,40.37624,-80.04413,27,3.75,1.823529412,5,,69,46,27
2316 Fairland St,15210,40.38638,-79.994064,15,3.066666667,1.083333333,,0,54,52,18
325 Anthony St,15210,40.411488,-79.9829,10,2.95,1.125,1,1,66,45,25
5491 Penn Ave #A302,15206,40.464474,-79.93271,60,3.775,1.928571429,20,9,89,66,48
221 Green Ct,15234,40.366383,-80.01246,12,3.791666667,1.375,0,2,40,47,
1676 Ewing Cir,15241,40.336784,-80.083496,2,3,1,1,,0,0,
2132 Sarah St,15203,40.427277,-79.97499,72,3.75,1.736842105,20,5,95,61,91
319 West St,15221,40.439587,-79.891525,20,3.725,1.5,8,4,67,63,70
2311 Kingwood St,15234,40.37732,-79.995834,6,2.833333333,1,0,1,48,49,17
241 Verna Dr,15209,40.50312,-79.96772,2,3.75,1.5,0,1,11,17,23
81 W Bruceton Rd,15236,40.331974,-79.964355,14,3.75,1.8,0,1,30,30,11
518 Elaine Dr,15236,40.34644,-80.00084,5,3.7,1.5,1,2,28,21,27
1711 Concordia St,15210,40.398438,-79.98666,14,3.071428571,1.1,,1,75,51,43
9959 Saltsburg Rd,15239,40.489567,-79.70942,1,4,1,,,8,12,
515 Cornell Avenue Ext,15229,40.513405,-80.04385,2,2.75,1.5,0,2,32,37,18
8830 Breezewood Dr,15237,40.565926,-80.05627,0,0,0,0,0,2,0,
1406 Towervue Dr,15227,40.395607,-79.96138,2,2.75,0,,,4,25,8
648 Regency Dr,15239,40.483154,-79.77868,12,3.791666667,1.555555556,,1,16,27,
1656 Seaton St,15226,40.387074,-80.0094,9,3.388888889,1.375,1,1,51,42,34
1665 Chislett St,15206,40.484196,-79.92747,34,4,1.8,0,3,54,44,40
1115 Woodbourne Ave,15226,40.389317,-80.0167,19,3.526315789,1.294117647,1,1,63,29,37
1233 Dickson St,15212,40.469936,-80.02873,9,3.944444444,1.2,1,1,60,43,45
733 Greenlee Rd,15227,40.37043,-79.99207,16,3.09375,1.2,3,2,36,45,17
846 N Saint Clair St,15206,40.47184,-79.92304,34,3.7,1.705882353,11,5,74,50,65
623 S Linden Ave,15208,40.446606,-79.91531,51,3.6,1.8,8,7,65,52,72
971 Corace Dr,15243,40.380287,-80.065056,12,3.208333333,1.636363636,1,2,26,35,
137 Rossmor Ct,15229,40.511032,-80.03896,13,3.346153846,1.384615385,1,2,2,38,4
128 N Craig St #814,15213,40.448082,-79.94841,122,3.4,1.611111111,20,6,89,71,79
3900 Cloverlea St,15227,40.36738,-79.97607,34,3.4,1.266666667,3,2,72,43,31
719 Vermont Ave,15234,40.363228,-80.03779,12,3.458333333,1.545454545,2,2,52,49,
4621 Bancroft St,15201,40.470985,-79.95505,78,3.875,1.647058824,20,5,75,51,58
120 Harlow St,15218,40.43082,-79.889046,42,3.275,1.470588235,7,6,41,51,
242 Silver Oak Dr,15220,40.403774,-80.05025,10,3.65,1.428571429,1,2,37,36,24
7236 Susquehanna St,15208,40.45295,-79.8969,9,3.833333333,1.428571429,4,2,78,64,81
77 Rustic Ridge Dr,15239,40.514202,-79.741974,2,3.75,1,0,,0,0,
6340 Alderson St,15217,40.4278,-79.92079,66,3.85,1.5,4,7,85,49,63
743 Kendall St,15201,40.480747,-79.946594,8,4,1.714285714,6,2,61,41,42
1139 Arrowood Dr,15243,40.37288,-80.068275,3,3.333333333,1.666666667,1,,28,31,
115 Linnview Ave,15210,40.403557,-79.98815,15,3.066666667,1.1,0,1,57,51,38
4209 Bessemer St,15201,40.46919,-79.95797,78,3.825,1.555555556,20,5,88,52,79
5332 Glen Robin Dr,15236,40.358658,-80.011246,11,3.772727273,1.333333333,0,2,31,41,11
1033 Oglethorpe Ave,15201,40.485348,-79.938545,13,3.653846154,1.555555556,0,3,27,44,34
201 Royal Oak Ave,15235,40.437412,-79.84103,1,3.5,1,1,1,16,26,6
147 Winslow St,15206,40.46477,-79.912025,24,3.6,1.352941176,7,5,74,63,88
906 Cedar Ave,15212,40.45519,-80.00195,85,3.825,1.5,20,2,93,73,89
2713 Harcum Way,15203,40.424824,-79.96763,37,3.6,1.631578947,12,3,90,58,93
131 Gateway Dr,15237,40.537132,-80.09352,0,0,0,,,4,0,1
2734 Waddington Ave,15226,40.39595,-80.029396,31,3.625,1.294117647,2,2,76,47,40
49 Holland Rd,15235,40.439175,-79.839714,0,0,0,1,1,12,27,4
99 S 9th St,15203,40.427334,-79.98954,78,3.7,1.666666667,20,3,80,71,89
5531 Keefe St,15207,40.36748,-79.91108,5,4.1,1.333333333,2,1,28,30,11
3719 Mount Troy Rd,15212,40.491158,-79.99304,1,4.5,2,1,,1,31,16
17 Uxor Way,15203,40.4271,-79.98454,80,3.725,1.736842105,20,4,88,63,36
2050 Mazette Pl,15205,40.44688,-80.083084,5,3.4,2,1,1,15,29,34
5404 Carnegie St,15201,40.482315,-79.950165,24,4.175,1.642857143,8,2,74,42,54
522 Carriage Cir,15205,40.4298,-80.10179,1,3.5,1,2,,21,0,
215 Walter St,15210,40.42028,-79.99456,23,3.6,1.5,10,2,72,61,68
1500 Well St,15211,40.436638,-80.02564,19,3.421052632,2.1875,11,0,52,58,37
142 Reed Dr,15205,40.42411,-80.05535,23,2.675,1.166666667,3,1,47,33,19
217 Orr Rd,15241,40.344376,-80.07267,0,0,0,0,,4,28,3
213 Toura Dr,15236,40.32092,-79.95424,5,3,1.333333333,0,2,36,27,14
325 Martin Ave,15216,40.38794,-80.04539,48,3.575,1.625,7,4,74,48,37
928 Unity Center Rd,15239,40.48051,-79.76439,4,3.625,1.666666667,,,21,28,
5443 Potter St,15232,40.45478,-79.936005,71,3.55,1.666666667,20,10,93,72,65
1446 Perri Dr,15226,40.384182,-80.01435,18,3.638888889,1.3125,1,1,53,39,19
1509 Abby Rose Ct,15237,40.58926,-80.085266,1,3.5,2,,,7,0,
327 Beadling Rd,15228,40.36717,-80.058105,16,3.625,2,2,0,16,22,
111 Ivy St,15218,40.430454,-79.884895,37,3.2,1.444444444,7,6,46,51,
496 Bradley St,15211,40.436226,-80.02949,15,3.566666667,1.916666667,7,0,17,56,27
3023 Bremen Ave,15227,40.380554,-79.97674,28,3.9,1.166666667,0,2,70,41,34
639 Blossom Dr,15236,40.342842,-80.003456,3,3.833333333,1,3,0,16,16,
2242 Kingridge Rd,15237,40.570953,-80.07491,1,3.5,2,,,2,0,
1875 Linton St,15219,40.443676,-79.98188,72,3.825,1.666666667,19,11,80,81,35
179 W Prospect Ave,15205,40.447533,-80.07263,10,3.25,1.111111111,3,1,25,44,25
360 Sabbath Dr,15236,40.3387,-79.97057,14,3.535714286,1.428571429,1,,52,40,
2216 Milligan Ave,15218,40.42205,-79.88204,31,3.2,1.411764706,4,2,71,51,
427 Arden Rd,15216,40.388557,-80.05347,24,3.4,1.5625,6,2,66,43,
1512 McFarland Rd,15216,40.391697,-80.044426,49,3.5,1.733333333,7,4,74,49,45
41 Rosemont Ave,15228,40.38246,-80.03566,30,3.725,1.705882353,4,1,37,45,26
1028 Welfer St,15217,40.42542,-79.93048,40,3.475,1.411764706,4,5,74,47,51
18 Revere Way,15219,40.45804,-79.966644,28,4.2,1.944444444,20,3,76,64,39
406 Burlington Rd,15221,40.424065,-79.86776,6,3.833333333,1.5,1,2,95,70,57
211 Kensington Ct,15238,40.526737,-79.91723,1,3.5,3,,,1,0,
504 Natchez St,15211,40.42685,-80.01333,30,3.625,1.6,2,3,66,66,54
436 Allenberry Dr,15237,40.51687,-79.98909,6,3.5,1.333333333,,0,1,12,
603 Forest Ridge Dr,15221,40.426304,-79.8477,15,3.666666667,1.545454545,0,4,14,28,29
113 Lenox Ave,15221,40.418716,-79.84735,21,3.575,1.571428571,0,4,64,43,26
131 Rae Ave,15228,40.384003,-80.04872,38,3.825,1.647058824,6,1,76,48,38
2719 Shiras Ave,15216,40.40368,-80.03124,34,3.65,1.176470588,1,5,62,47,26
1160 Prince Andrew Ct,15237,40.564796,-80.06405,0,0,0,0,0,0,0,
5448 Sagebrush Dr,15236,40.336845,-79.98734,6,3,1,1,1,33,25,
