address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
3606 Wallace Dr,https://www.trulia.com/p/pa/pittsburgh/3606-wallace-dr-pittsburgh-pa-15227--2014212213,3,1.5,"1,040","['Last Sold: Jun 7, 2019', '5% below list $164K']",1,0,0,0,1,Single Family Home,"10,227 sqft",1955,6,Other,Gas,,Attached Garage,1,Ranch,1,Brick,Composition,156000
501 Kenmont Ave,https://www.trulia.com/p/pa/pittsburgh/501-kenmont-ave-pittsburgh-pa-15228--2014220787,2,1,888,"['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,,1941,5,Central,,,Attached Garage,1,,2,Masonry,Shingle (Not Wood),110000
1135 Queensbury St,https://www.trulia.com/p/pa/pittsburgh/1135-queensbury-st-pittsburgh-pa-15205--2014052437,3,1,"1,440","['Last Sold: Jun 7, 2019', '89% over list $120K']",0,0,0,0,0,Single Family Home,"5,854 sqft",1950,6,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,1133000
1304 Folkstone Dr,https://www.trulia.com/p/pa/pittsburgh/1304-folkstone-dr-pittsburgh-pa-15243--2014307646,3,2,"1,300","['Last Sold: Jun 7, 2019', '4% over list $265K']",0,0,0,0,0,Single Family Home,"7,797 sqft",1951,7,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,275000
7072 Woodland Ave,https://www.trulia.com/p/pa/pittsburgh/7072-woodland-ave-pittsburgh-pa-15202--2014042964,4,1.5,"2,012","['Last Sold: Jun 7, 2019', '']",1,1,0,0,1,Single Family Home,"7,871 sqft",1900,9,Other,,Central,Detached Garage,,,2,Brick,Slate,429900
443 Marlin Dr,https://www.trulia.com/p/pa/pittsburgh/443-marlin-dr-pittsburgh-pa-15228--2014220404,3,1,"1,450","['as of Dec 10, 2019', 'as of Dec 10, 2019']",0,0,0,0,0,Single Family Home,,1930,6,Central,,,,,,2,Brick,Shingle (Not Wood),219044
222 S Millvale Ave,https://www.trulia.com/p/pa/pittsburgh/222-s-millvale-ave-pittsburgh-pa-15224--2089363416,3,1,"1,672","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,,1910,7,Central,,,,,,2,Masonry,Slate,170000
3317 Ridgway St,https://www.trulia.com/p/pa/pittsburgh/3317-ridgway-st-pittsburgh-pa-15213--2313812362,2,1,"1,428","['2bd', '2ba']",0,0,0,0,0,Single Family Home,,1900,5,Central,,,,,,2,Other,Shingle (Not Wood),
5293 Highgrove Rd,https://www.trulia.com/p/pa/pittsburgh/5293-highgrove-rd-pittsburgh-pa-15236--2014263618,2,1.5,"1,510","['Last Sold: Jun 7, 2019', '3% below list $160K']",0,0,0,0,1,Single Family Home,"8,169 sqft",1954,8,Other,,Central,Attached Garage,1,CapeCod,2,Brick,Shake Shingle,156000
1730 Loretta Dr,https://www.trulia.com/p/pa/pittsburgh/1730-loretta-dr-pittsburgh-pa-15235--2014243678,3,1.5,"1,200","['Last Sold: Jun 7, 2019', '1% below list $130K']",0,0,0,0,0,Single Family Home,"6,000 sqft",1951,6,Other,,,Attached Garage,1,CapeCod,1,,Shake Shingle,128900
2331 Saranac Ave,https://www.trulia.com/p/pa/pittsburgh/2331-saranac-ave-pittsburgh-pa-15216--2014142370,3,1.5,"1,448","['Last Sold: Jun 7, 2019', '1% below list $169K']",0,0,0,0,0,Single Family Home,"3,300 sqft",1994,7,Other,,Central,Attached Garage,2,,1,,Shake Shingle,168000
1424 Summit St,https://www.trulia.com/p/pa/pittsburgh/1424-summit-st-pittsburgh-pa-15221--2014178488,2,1,"1,306","['2bd', '2ba']",0,0,0,0,0,Single Family Home,,1900,4,Central,,,,,,2,Other,Shingle (Not Wood),
255 Maple Ave,https://www.trulia.com/p/pa/pittsburgh/255-maple-ave-pittsburgh-pa-15218--2014158426,3,1,"1,724","['Last Sold: Jun 7, 2019', '5% below list $319K']",1,1,1,1,1,Single Family Home,"3,000 sqft",1910,10,Forced Air,Gas,Central,On Street,,,3,Brick,Shake Shingle,305000
134 Danube Dr,https://www.trulia.com/p/pa/pittsburgh/134-danube-dr-pittsburgh-pa-15209--2014084894,3,1,"1,287","['Last Sold: Jun 7, 2019', '7% over list $200K']",1,1,0,0,1,Single Family Home,"9,750 sqft",1961,6,Forced Air,Gas,Central,Attached Garage,1,CapeCod,1,Brick,Asphalt,215000
337 Jonquil Pl,https://www.trulia.com/p/pa/pittsburgh/337-jonquil-pl-pittsburgh-pa-15228--1118320218,2,1,"1,047","['Last Sold: Jun 7, 2019', '13% over list $159K']",1,1,1,1,1,Single Family Home,"4,830 sqft",1941,5,Forced Air,Gas,Central,Attached Garage,1,CapeCod,2,Brick,Shake Shingle,183000
4053 Brownsville Rd,https://www.trulia.com/p/pa/pittsburgh/4053-brownsville-rd-pittsburgh-pa-15227--2014213368,3,1,"1,415","['Last Sold: Jun 7, 2019', '2% below list $150K']",0,0,0,0,0,Single Family Home,"5,150 sqft",1940,7,Forced Air,Gas,Central,,,Tudor,2,Brick,Slate,147500
1195 Tranter Ave,https://www.trulia.com/p/pa/pittsburgh/1195-tranter-ave-pittsburgh-pa-15220--1005661736,3,1,"2,803","['Last Sold: Jun 7, 2019', '3% below list $380K']",1,1,1,1,1,Single Family Home,"5,518 sqft",1954,10,Forced Air,Gas,Central,Attached Garage,2,,1,Brick Stucco,Shake Shingle,370000
5840 Pierce St,https://www.trulia.com/p/pa/pittsburgh/5840-pierce-st-pittsburgh-pa-15232--2014230037,2,1,"1,374","['Last Sold: Jun 7, 2019', '6% below list $275K']",1,0,1,1,1,Townhouse,882 sqft,1900,4,Other,,,,,,2,Brick,Composition,260000
316 Clover St,https://www.trulia.com/p/pa/pittsburgh/316-clover-st-pittsburgh-pa-15210--2014096745,2,1,"1,290","['Last Sold: Jun 7, 2019', '4% over list $46.9K']",0,0,1,0,1,Single Family Home,"4,500 sqft",1926,5,Other,,,,,,2,Stucco,Shake Shingle,48900
694 Robinwood Dr #A,https://www.trulia.com/p/pa/pittsburgh/694-robinwood-dr-a-pittsburgh-pa-15216--2014145410,2,1,740,"['Last Sold: Jun 7, 2019', '5% below list $110K']",0,1,1,1,0,Condo,740 sqft,1974,3,Forced Air,Gas,Central,Detached Garage,1,,1,Brick,Shake Shingle,105000
1019 Duncan Ln,https://www.trulia.com/p/pa/pittsburgh/1019-duncan-ln-pittsburgh-pa-15236--2014254606,2,2,"1,632","['Last Sold: Jun 7, 2019', '2% below list $240K']",1,1,1,1,1,Townhouse,"7,279 sqft",2002,6,Forced Air,Gas,Central,Attached Garage,1,Colonial,2,,Composition,235000
91 W Prospect Ave,https://www.trulia.com/p/pa/pittsburgh/91-w-prospect-ave-pittsburgh-pa-15205--2089354747,3,2,"1,142","['Last Sold: Jun 7, 2019', '2% below list $165K']",0,0,0,0,0,Single Family Home,"5,200 sqft",1938,7,Other,Gas,Central,Detached Garage,,Colonial,2,Brick,,161800
1317 Manor Dr,https://www.trulia.com/p/pa/pittsburgh/1317-manor-dr-pittsburgh-pa-15241--1012298649,4,2,"2,146","['Last Sold: Jun 7, 2019', '3% over list $305K']",0,0,0,0,0,Single Family Home,"8,346 sqft",1984,,Forced Air,Electric,Central,,,Colonial,,,,315000
209 Saint Charles Pl,https://www.trulia.com/p/pa/pittsburgh/209-saint-charles-pl-pittsburgh-pa-15215--1117261539,4,2,"2,386","['Last Sold: Jun 7, 2019', '1% over list $499K']",1,1,1,1,1,Single Family Home,0.34 acres,1988,8,Forced Air,Gas,"Central, Solar",Attached Garage,2,Contemporary,2,Brick Wood,Shake Shingle,504000
