address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
401 Landon Gate Gdn,https://www.trulia.com/p/pa/pittsburgh/401-landon-gate-gdn-pittsburgh-pa-15238--2014288461,3,3,"3,304","['Last Sold: Apr 4, 2019', '3% below list $385K']",1,1,0,0,1,Condo,"3,700 sqft",1993,9,Forced Air,Gas,Central,,3,Colonial,,,Asphalt,375000
30 Fairfield Ct,https://www.trulia.com/p/pa/pittsburgh/30-fairfield-ct-pittsburgh-pa-15201--2014033779,4,1,"1,945","['Last Sold: Apr 4, 2019', '6% over list $270K']",0,0,0,0,0,Single Family Home,"7,590 sqft",1960,6,Other,,Central,Attached Garage,1,Ranch,,Brick,Shake Shingle,286500
5011 Windover Dr,https://www.trulia.com/p/pa/pittsburgh/5011-windover-dr-pittsburgh-pa-15205--2014058757,4,2.5,"2,231","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Single Family Home,,1969,9,Central,,,Attached Garage,2,,,Brick,Shingle (Not Wood),242515
1319 Old Leechburg Rd,https://www.trulia.com/p/pa/pittsburgh/1319-old-leechburg-rd-pittsburgh-pa-15239--2014291417,3,2.5,"2,015","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,,1999,5,Central,,,,,,,Log,Metal,68000
511 Bower Hill Rd,https://www.trulia.com/p/pa/pittsburgh/511-bower-hill-rd-pittsburgh-pa-15228--2014220840,3,1,"1,256","['Last Sold: Apr 3, 2019', '1% below list $219K']",0,0,0,0,0,Single Family Home,"6,250 sqft",1950,,,,,,,,,,,216500
6826 Church Ave,https://www.trulia.com/p/pa/pittsburgh/6826-church-ave-pittsburgh-pa-15202--2014042736,2,2,"1,515","['Last Sold: Apr 3, 2019', '4% below list $260K']",0,0,0,0,0,Single Family Home,"6,000 sqft",1957,7,Other,,Central,Attached Garage,1,CapeCod,,Brick,Shake Shingle,250000
6311 Saint Marie St,https://www.trulia.com/p/pa/pittsburgh/6311-saint-marie-st-pittsburgh-pa-15206--2014068444,4,2,"2,408","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Multi Family,,2017,8,Central,,,,,,,Other,Shingle (Not Wood),362181
100 Denniston St #85,https://www.trulia.com/p/pa/pittsburgh/100-denniston-st-85-pittsburgh-pa-15206--2014061239,4,2,"2,396","['Last Sold: Apr 3, 2019', '2% over list $650K']",0,0,0,0,0,Townhouse,"2,481 sqft",1995,7,Other,,Central,Attached Garage,2,,,Stone,Shake Shingle,659900
104 Vernon Dr,https://www.trulia.com/p/pa/pittsburgh/104-vernon-dr-pittsburgh-pa-15228--2014216487,4,2,"1,874","['Last Sold: Apr 3, 2019', '3% over list $225K']",0,0,0,0,0,Single Family Home,"8,500 sqft",1930,,,Gas,,,,Colonial,,,,232500
220 N Dithridge St #803,https://www.trulia.com/p/pa/pittsburgh/220-n-dithridge-st-803-pittsburgh-pa-15213--2089359729,2,2,"1,516","['$2,258', '$2,258']",0,0,0,0,0,Condo,"1,516 sqft",1972,4,Other,,Central,,1,,,Brick,Composition,369000
219 Pinchtown Rd,https://www.trulia.com/p/pa/pittsburgh/219-pinchtown-rd-pittsburgh-pa-15236--2014257603,2,1,"1,218","['Last Sold: Apr 3, 2019', '20% below list $120K']",0,1,1,1,1,Single Family Home,0.52 acres,1910,5,Other,,Central,On Street,2,Colonial,,Vinyl,Shake Shingle,100000
987 Elizabeth St,https://www.trulia.com/p/pa/pittsburgh/987-elizabeth-st-pittsburgh-pa-15221--2014188950,4,2,"2,154","['Last Sold: Apr 3, 2019', '2% below list $145K']",0,0,0,0,0,Single Family Home,"7,817 sqft",1953,8,Forced Air,Gas,Central,Attached Garage,2,Colonial,,Brick,Shake Shingle,142000
102 Green Vista Dr,https://www.trulia.com/p/pa/pittsburgh/102-green-vista-dr-pittsburgh-pa-15237--2014267234,3,1,"1,368","['Last Sold: Apr 3, 2019', '19% below list $155K']",0,0,0,0,0,Single Family Home,1 acre,1946,6,Other,,,,,CapeCod,,Brick,Shake Shingle,130000
1286 Folkstone Dr,https://www.trulia.com/p/pa/pittsburgh/1286-folkstone-dr-pittsburgh-pa-15243--2014307554,4,2,"2,429","['Last Sold: Apr 3, 2019', '2% below list $342K']",0,0,0,0,0,Single Family Home,"9,656 sqft",1955,7,Other,,Central,,2,CapeCod,,Stone,Slate,336000
400 Augusta St,https://www.trulia.com/p/pa/pittsburgh/400-augusta-st-pittsburgh-pa-15211--2014104672,2,2,"1,000","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Single Family Home,"4,000 sqft",1945,5,,,,,,,,,,110062
208 Highland Pines Dr,https://www.trulia.com/p/pa/pittsburgh/208-highland-pines-dr-pittsburgh-pa-15237--2014273769,3,1.5,"1,862","['Last Sold: Apr 3, 2019', '5% below list $295K']",1,1,1,1,1,Single Family Home,0.28 acres,1961,7,Forced Air,Gas,Central,Attached Garage,2,Colonial,,Brick,Shake Shingle,281611
3240 Brownsville Rd,https://www.trulia.com/p/pa/pittsburgh/3240-brownsville-rd-pittsburgh-pa-15227--2014211125,4,2.5,"4,323","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Multi Family,"5,800 sqft",1924,14,Other,,Central,,,,,Brick,Shake Shingle,249900
4 Imperial Ct,https://www.trulia.com/p/pa/pittsburgh/4-imperial-ct-pittsburgh-pa-15215--1009974101,4,5,"5,051","['$750,000', '$750,000']",0,0,0,0,0,Single Family Home,0.7 acres,2001,8,Other,,Central,,,Colonial,,Brick,,725000
7233 Lemington Ave,https://www.trulia.com/p/pa/pittsburgh/7233-lemington-ave-pittsburgh-pa-15206--2014070884,3,1,"1,760","['3bd', '2ba']",0,0,0,0,0,Single Family Home,"7,600 sqft",1925,,,,,,2,,,,,
429 Nelbon Ave,https://www.trulia.com/p/pa/pittsburgh/429-nelbon-ave-pittsburgh-pa-15235--2014250636,3,1,"1,100","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,"6,380 sqft",1949,,,,,,,,,,,79000
1217 Biltmore Ave,https://www.trulia.com/p/pa/pittsburgh/1217-biltmore-ave-pittsburgh-pa-15216--2014137764,4,1,"1,680","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,,1938,7,Central,,,,,,,Brick,Shingle (Not Wood),259300
279 Richland Dr,https://www.trulia.com/p/pa/pittsburgh/279-richland-dr-pittsburgh-pa-15235--2014247357,3,1,"1,428","['Last Sold: Apr 3, 2019', '24% below list $32.9K']",0,0,0,0,0,Single Family Home,"4,680 sqft",1972,6,Other,Electric,None,Attached Garage,1,Colonial,,Brick,Shake Shingle,26500
407 Cherrywood Dr,https://www.trulia.com/p/pa/pittsburgh/407-cherrywood-dr-pittsburgh-pa-15214--2014129782,3,2,"1,238","['$167,900', '$167,900']",1,1,0,0,1,Single Family Home,"7,942 sqft",1958,6,Forced Air,Gas,Central,"On Street, Attached Garage, Off Street",,CapeCod,,Brick,Shake Shingle,177900
5857 Northumberland St,https://www.trulia.com/p/pa/pittsburgh/5857-northumberland-st-pittsburgh-pa-15217--2014152608,12,4,"6,226","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Multi Family,,1925,24,Central,,,,,,,Brick,Shingle (Not Wood),753758
1567 Clark St,https://www.trulia.com/p/pa/pittsburgh/1567-clark-st-pittsburgh-pa-15221--2014179353,4,2,"1,920","['3bd', '2ba']",0,0,0,0,0,Multi Family,,1940,10,Central,,,Attached Garage,2,,,Brick,Shingle (Not Wood),
350 S Graham St,https://www.trulia.com/p/pa/pittsburgh/350-s-graham-st-pittsburgh-pa-15232--2089365412,8,4,"4,445","['Last Sold: Apr 3, 2019', '9% below list $595K']",0,0,0,0,0,Multi Family,0.26 acres,1920,16,Other,,,,6,,,Brick,Shake Shingle,545000
214 Park St,https://www.trulia.com/p/pa/pittsburgh/214-park-st-pittsburgh-pa-15209--2014086115,3,1.5,"1,656","['Last Sold: Apr 3, 2019', '0% over list $135K']",0,0,0,0,0,Single Family Home,0.34 acres,1957,6,Other,,Central,Attached Garage,1,CapeCod,,Brick,Shake Shingle,135000
176 W View Ave,https://www.trulia.com/p/pa/pittsburgh/176-w-view-ave-pittsburgh-pa-15229--2411105432,2,1,"1,231","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,,1953,4,Central,,,Attached Garage,1,,,Brick,Shingle (Not Wood),152000
741 Somerville Dr,https://www.trulia.com/p/pa/pittsburgh/741-somerville-dr-pittsburgh-pa-15243--2014310748,3,1.5,"1,815","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,"10,228 sqft",1960,,,,,,,,,,,279900
1917 Wharton St,https://www.trulia.com/p/pa/pittsburgh/1917-wharton-st-pittsburgh-pa-15203--2014045086,3,1,"1,088","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,"1,200 sqft",1910,,Baseboard,Electric Electric,,,,,,,,165000
941 Millerdale St,https://www.trulia.com/p/pa/pittsburgh/941-millerdale-st-pittsburgh-pa-15201--2014037967,3,1,"1,004","['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,,1958,5,Central,,,Attached Garage,1,,,Brick,Shingle (Not Wood),90000
110 Ramage Rd,https://www.trulia.com/p/pa/pittsburgh/110-ramage-rd-pittsburgh-pa-15214--2014125051,0,1,696,"['Last Sold: Apr 3, 2019', '']",0,0,0,0,0,Single Family Home,,1917,6,Central,,,,,,,Other,Shingle (Not Wood),143300
1459 Hawthorne St,https://www.trulia.com/p/pa/pittsburgh/1459-hawthorne-st-pittsburgh-pa-15201--2014032437,2,1,736,"['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Single Family Home,"2,640 sqft",1950,4,,,,,,,,,,121836
139 Home St,https://www.trulia.com/p/pa/pittsburgh/139-home-st-pittsburgh-pa-15201--2014032325,3,1,"1,643","['Last Sold: Apr 3, 2019', '1% below list $275K']",1,1,0,0,1,Townhouse,"1,072 sqft",1890,7,Forced Air,Gas,Central,On Street,,,,,Asphalt,273000
1308 Varner Rd,https://www.trulia.com/p/pa/pittsburgh/1308-varner-rd-pittsburgh-pa-15227--2014206625,3,1,"1,254","['Last Sold: Apr 3, 2019', '3% over list $160K']",1,0,0,0,1,Single Family Home,"7,800 sqft",1952,8,Other,Gas,Central,,1,,,,Asphalt,165000
151 Lebeau Pike,https://www.trulia.com/p/pa/pittsburgh/151-lebeau-pike-pittsburgh-pa-15221--1019681900,3,2,"1,040","['Last Sold: Apr 3, 2019', '']",1,0,0,0,1,Single Family Home,"6,819 sqft",1962,8,Forced Air,Gas,Central,,1,Colonial,,,Asphalt,130000
5361 Brownsville Rd,https://www.trulia.com/p/pa/pittsburgh/5361-brownsville-rd-pittsburgh-pa-15236--2014264101,4,2,"1,274","['Last Sold: Apr 3, 2019', '1% below list $180K']",1,0,0,0,1,Single Family Home,0.3 acres,1950,10,Forced Air,Gas,Central,,1,CapeCod,,,Asphalt,177500
2120 Greentree Rd #606E,https://www.trulia.com/p/pa/pittsburgh/2120-greentree-rd-606e-pittsburgh-pa-15220--2014171675,2,2,"1,216","['Last Sold: Apr 3, 2019', '0% over list $132K']",0,0,0,0,0,Condo,"1,216 sqft",1968,4,Other,,Central,,2,,,Brick,Composition,132000
167 S 17th St,https://www.trulia.com/p/pa/pittsburgh/167-s-17th-st-pittsburgh-pa-15203--1116796459,2,1,"1,088","['Last Sold: Apr 3, 2019', '53% below list $230K']",1,0,1,1,1,Townhouse,"1,140 sqft",1900,,,,,,,,,,,149900
820 Westgate Dr,https://www.trulia.com/p/pa/pittsburgh/820-westgate-dr-pittsburgh-pa-15241--2014306443,3,2,"2,552","['Last Sold: Apr 3, 2019', '2% over list $330K']",1,1,0,0,0,Single Family Home,0.41 acres,1978,11,Forced Air,Gas,Central,,2,Tudor,,Stucco,Asphalt,337000
122 Easley Rd,https://www.trulia.com/p/pa/pittsburgh/122-easley-rd-pittsburgh-pa-15237--2014269561,2,1.5,"1,014","['Last Sold: Apr 2, 2019', '']",1,1,1,1,1,Single Family Home,0.26 acres,1958,10,Forced Air,Gas,Central,Attached Garage,2,Contemporary,,Brick,Asphalt,199900
2956 Voelkel Ave,https://www.trulia.com/p/pa/pittsburgh/2956-voelkel-ave-pittsburgh-pa-15216--2014143876,3,2,"2,648","['Last Sold: Apr 2, 2019', '12% below list $235K']",0,0,0,0,0,Single Family Home,"4,800 sqft",1935,8,Forced Air,Gas,Central,,,Colonial,,Brick,Shake Shingle,210000
1607 Aurelius St,https://www.trulia.com/p/pa/pittsburgh/1607-aurelius-st-pittsburgh-pa-15218--2014156822,3,1.5,"1,710","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Single Family Home,"5,730 sqft",1910,7,Other,,Central,,,,,,Shake Shingle,54900
231 Arabella St,https://www.trulia.com/p/pa/pittsburgh/231-arabella-st-pittsburgh-pa-15210--2014094767,2,1,990,"['Last Sold: Apr 2, 2019', '4% below list $55.9K']",1,0,0,0,1,Single Family Home,"1,904 sqft",1920,5,Radiant,Gas,,On Street,1,Colonial,,Brick Cement Concrete,Slate,54000
1014 Old Gate Rd,https://www.trulia.com/p/pa/pittsburgh/1014-old-gate-rd-pittsburgh-pa-15235--2014238749,2,1.5,"1,692","['Last Sold: Apr 2, 2019', '2% below list $215K']",1,1,1,1,1,Single Family Home,0.41 acres,1946,6,Forced Air,Gas,Central,"Attached Garage, Off Street",6,CapeCod,,Brick,Shake Shingle,210000
22 Maplewood Ave,https://www.trulia.com/p/pa/pittsburgh/22-maplewood-ave-pittsburgh-pa-15205--2014056430,3,3,"2,382","['Last Sold: Apr 2, 2019', '3% below list $245K']",1,1,1,1,1,Single Family Home,"7,500 sqft",1935,7,Forced Air,Gas,Central,Detached Garage,2,Victorian,,Vinyl,Asphalt,238450
811 Greenhill Rd,https://www.trulia.com/p/pa/pittsburgh/811-greenhill-rd-pittsburgh-pa-15209--2014088715,3,1,"1,400","['Last Sold: Apr 2, 2019', '4% below list $189K']",0,0,0,0,0,Single Family Home,"10,883 sqft",1955,6,Other,,Central,,,Colonial,,,Shake Shingle,182500
4606 Colvin Ct,https://www.trulia.com/p/pa/pittsburgh/4606-colvin-ct-pittsburgh-pa-15236--1034080088,3,2.5,"1,544","['Last Sold: Apr 2, 2019', '0% over list $230K']",1,1,0,0,1,Single Family Home,"9,694 sqft",1996,9,Forced Air,Gas,Central,,2,,,Vinyl,Asphalt,230400
602 Carriage Cir,https://www.trulia.com/p/pa/pittsburgh/602-carriage-cir-pittsburgh-pa-15205--2014059562,3,1.5,992,"['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Condo,,1974,5,Central,,,,,,,Brick,Roll Composition,132900
220 Hawthorne Ct,https://www.trulia.com/p/pa/pittsburgh/220-hawthorne-ct-pittsburgh-pa-15221--2014181524,4,2.5,"2,424","['Last Sold: Apr 2, 2019', '2% below list $260K']",0,0,0,0,0,Single Family Home,0.27 acres,1988,9,Forced Air,Gas,Central,Attached Garage,,Colonial,,Brick,Shake Shingle,255000
1726 Loretta Dr,https://www.trulia.com/p/pa/pittsburgh/1726-loretta-dr-pittsburgh-pa-15235--2014243647,3,1,"1,200","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Single Family Home,"6,000 sqft",1950,6,Other,,,Attached Garage,1,CapeCod,,,Shake Shingle,129900
3144 Ashlyn St,https://www.trulia.com/p/pa/pittsburgh/3144-ashlyn-st-pittsburgh-pa-15204--2014050092,3,1.5,"1,612","['Last Sold: Apr 2, 2019', '1% below list $89.9K']",0,0,0,0,0,Single Family Home,"4,500 sqft",1963,6,Other,,,,,Colonial,,Brick,Shake Shingle,89150
1636 Oakhurst St,https://www.trulia.com/p/pa/pittsburgh/1636-oakhurst-st-pittsburgh-pa-15210--2014091626,3,1,"1,091","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Single Family Home,"3,500 sqft",1920,4,Other,,,,3,CapeCod,,,Shake Shingle,89900
227 S Home Ave #403,https://www.trulia.com/p/pa/pittsburgh/227-s-home-ave-403-pittsburgh-pa-15202--2089351652,2,2,"1,000","['Last Sold: Apr 2, 2019', '1% over list $74K']",0,0,0,0,0,Condo,"1,000 sqft",1975,4,Other,,Central,,,,,Cement Concrete,Composition,75000
1204 Tweed St,https://www.trulia.com/p/pa/pittsburgh/1204-tweed-st-pittsburgh-pa-15204--2014047847,2,2,"1,985","['Last Sold: Apr 2, 2019', '9% below list $180K']",1,1,0,0,1,Single Family Home,"3,000 sqft",1925,6,Other,Gas,,,,,,,Asphalt,165000
606 Broadhead Ave,https://www.trulia.com/p/pa/pittsburgh/606-broadhead-ave-pittsburgh-pa-15205--2014059592,3,1.5,"2,720","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Multi Family,,1977,5,Central,,,Attached Garage,2,,,Masonry,Shingle (Not Wood),215000
1520 Worcester Dr,https://www.trulia.com/p/pa/pittsburgh/1520-worcester-dr-pittsburgh-pa-15243--2014308150,3,1.5,"1,003","['Last Sold: Apr 2, 2019', '23% over list $105K']",0,0,0,0,0,Single Family Home,"7,800 sqft",1952,,,,,,,,,,,135000
115 Fiesta Dr,https://www.trulia.com/p/pa/pittsburgh/115-fiesta-dr-pittsburgh-pa-15239--2014291020,3,2.5,"1,272","['Last Sold: Apr 2, 2019', '3% below list $190K']",0,0,0,0,0,Single Family Home,"7,500 sqft",1960,6,Other,,Central,,,Ranch,,Brick,Shake Shingle,185000
460 Ridgemont Dr,https://www.trulia.com/p/pa/pittsburgh/460-ridgemont-dr-pittsburgh-pa-15220--2014173470,3,1,947,"['Last Sold: Apr 2, 2019', '15% below list $135K']",1,0,1,1,1,Single Family Home,0.34 acres,1958,5,Forced Air,,"Central, Solar, Refrigeration","On Street, Off Street, Attached Garage",2,Ranch,,Brick,Asphalt,117000
521 Davis Ave,https://www.trulia.com/p/pa/pittsburgh/521-davis-ave-pittsburgh-pa-15209--2014087904,3,1.5,"1,238","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,0,0,0,Single Family Home,,1956,6,Central,,,Attached Garage,1,,,Brick,Shingle (Not Wood),183995
4109 Haldane St,https://www.trulia.com/p/pa/pittsburgh/4109-haldane-st-pittsburgh-pa-15207--2014073923,0,1,150,"[""We are looking for another person to share a large house that is home to several other graduate and professional students. The house is located in Greenfield on a quiet, tree-lined, residential street about 2 miles from both Pitt's Cathedral of Learning and CMU. The 58 bus is a 5-minute walk from the house. Rent is $550 per month plus utilities. A $1100 security deposit is required when the lease is signed, and first month's rent is due upon occupancy. The lease is for one year, August 1, 2019 to July 31, 2020, with the option to renew. Each housemate has his/her own lease. $40 for a credit check is required at the time of application. The utilities (gas, water, electric, internet) are expected to average about $75/mo.; higher in the winter (because of the gas heating your total will average about $125/mo. in the winter months) and lower in the summer. The house has just been fully renovated (finished on 8/3/19) and is ready for immediate move in. More pictures to come soon! The renovations include: removal of all carpeting and refinishing all HARDWOOD floors, new kitchen cabinets, complete electrical upgrade, new roof, interior painting, new dryer, new stove/oven, gutted/remodeled bathroom and new doors. The washer and dryer are in the basement and there is no charge to use them. The common areas are generously sized, so each person has plenty of space. There is some furniture in the dining room, but housemates will need to provide their own bedroom/office furniture. There is a lot of storage space in the basement (room for a small gym if you have the equipment!). A car is not essential for this centrally located house, but if you do have one there is plenty of street parking in the quiet residential neighborhood. No smoking or pets. Housemates should be neat in common areas and willing to regularly pitch in to keep the house clean and comfortable. All housemates are currently very committed to maintaining an environment that is conducive to rest and study; this is not a party house.Lease Details: Tenant responsible for all utilities"", 'See more homes for rent inPittsburgh']",0,0,1,1,0,Townhouse,,1900,,,,,,,,,,,550
2246 Lehigh St,https://www.trulia.com/p/pa/pittsburgh/2246-lehigh-st-pittsburgh-pa-15218--1117479606,4,2,"2,975","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Multi Family,"9,000 sqft",1935,8,Other,Gas,,,1,Contemporary,,,Composition,159900
1195 Chislett St,https://www.trulia.com/p/pa/pittsburgh/1195-chislett-st-pittsburgh-pa-15206--2014061911,4,1,"1,296","['Last Sold: Apr 2, 2019', '0% over list $300K']",0,0,0,0,0,Single Family Home,"4,100 sqft",1920,7,Other,Gas,Central,Off Street,1,,,Brick,Shake Shingle,300000
200 Union St,https://www.trulia.com/p/pa/pittsburgh/200-union-st-pittsburgh-pa-15221--1017395468,2,1,"1,770","['Last Sold: Apr 2, 2019', '3% below list $198K']",0,0,0,0,0,Single Family Home,"3,640 sqft",1910,7,Other,,,,,,,,Shake Shingle,193000
1854 Clayton Ave,https://www.trulia.com/p/pa/pittsburgh/1854-clayton-ave-pittsburgh-pa-15214--1116978931,3,1,"1,520","['Last Sold: Apr 2, 2019', '14% below list $250K']",0,0,0,0,0,Single Family Home,"4,270 sqft",1935,6,Other,,,,2,,,Stone,Composition,220000
1317 Creedmoor Ave,https://www.trulia.com/p/pa/pittsburgh/1317-creedmoor-ave-pittsburgh-pa-15226--2014199900,2,1,"1,966","['Last Sold: Apr 2, 2019', '1% below list $185K']",0,1,0,0,1,Single Family Home,"3,300 sqft",1922,7,Forced Air,Gas,Central,"Off Street, On Street, Carport",1,Craftsman,,Brick,Asphalt,182350
532 Haverhill Rd,https://www.trulia.com/p/pa/pittsburgh/532-haverhill-rd-pittsburgh-pa-15228--2014220963,3,1,"1,188","['Last Sold: Apr 2, 2019', '']",1,1,1,1,1,Single Family Home,"6,600 sqft",1948,7,Forced Air,Gas,Central,Attached Garage,1,CapeCod,,Brick,Asphalt,184900
4042 California Ave,https://www.trulia.com/p/pa/pittsburgh/4042-california-ave-pittsburgh-pa-15212--2014117541,3,1,"1,218","['Last Sold: Apr 2, 2019', '']",1,1,0,0,1,Townhouse,"3,143 sqft",1975,7,Forced Air,Gas,Central,,4,,,,Asphalt,160000
2101 Noblestown Rd,https://www.trulia.com/p/pa/pittsburgh/2101-noblestown-rd-pittsburgh-pa-15205--1005664472,3,2,"1,585","['Last Sold: Apr 2, 2019', '1% below list $139K']",0,0,0,0,0,Single Family Home,"8,250 sqft",1985,7,Other,,Central,Attached Garage,2,Ranch,,Brick,Shake Shingle,137000
52 S 20th St,https://www.trulia.com/p/pa/pittsburgh/52-s-20th-st-pittsburgh-pa-15203--2089353635,3,1,"2,012","['Last Sold: Apr 2, 2019', '13% below list $290K']",0,0,0,0,0,Single Family Home,"1,200 sqft",1900,7,Other,,,,,Colonial,,Brick,Shake Shingle,255807
2216 Temperance Dr,https://www.trulia.com/p/pa/pittsburgh/2216-temperance-dr-pittsburgh-pa-15237--2014274367,4,2,"2,784","['Last Sold: Apr 2, 2019', '3% below list $490K']",1,1,0,0,1,Single Family Home,0.46 acres,1975,14,Forced Air,Gas,Central,,2,Colonial,,,Asphalt,474000
5505 Margaretta St,https://www.trulia.com/p/pa/pittsburgh/5505-margaretta-st-pittsburgh-pa-15206--2014066513,3,2,"1,947","['Last Sold: Apr 2, 2019', '7% below list $374K']",0,0,0,0,0,Single Family Home,"6,156 sqft",1892,8,Forced Air,Gas,Central,,,,,Brick,Composition,350000
5106 Morningrise Dr,https://www.trulia.com/p/pa/pittsburgh/5106-morningrise-dr-pittsburgh-pa-15236--2014262346,3,1,"1,115","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Single Family Home,"9,000 sqft",1954,6,Other,,Central,Attached Garage,1,Colonial,,Brick,,197500
151 Fort Pitt Blvd #903,https://www.trulia.com/p/pa/pittsburgh/151-fort-pitt-blvd-903-pittsburgh-pa-15222--2014189268,2,2,"1,763","['Last Sold: Apr 2, 2019', '']",1,1,0,0,1,Condo,"1,763 sqft",2007,8,Heat Pump,Electric,Central,,1,Contemporary,,,Composition,519900
342 Mayville Ave,https://www.trulia.com/p/pa/pittsburgh/342-mayville-ave-pittsburgh-pa-15226--1118354895,2,1,"1,058","['Last Sold: Apr 2, 2019', '1% over list $125K']",0,0,1,1,1,Single Family Home,"3,000 sqft",1945,5,Forced Air,Gas,Central,"Attached Garage, Off Street",1,,,,,126000
904 Oakside Ln,https://www.trulia.com/p/pa/pittsburgh/904-oakside-ln-pittsburgh-pa-15229--2014228128,3,1,"1,472","['Last Sold: Apr 2, 2019', '0% over list $250K']",1,0,0,0,1,Single Family Home,"7,309 sqft",1948,6,Forced Air,Gas,Central,Attached Garage,1,CapeCod,,Brick,Slate,251070
344 Clarence St,https://www.trulia.com/p/pa/pittsburgh/344-clarence-st-pittsburgh-pa-15211--2014104480,2,1,900,"['Last Sold: Apr 2, 2019', '18% below list $130K']",0,0,1,1,0,Single Family Home,"4,652 sqft",1900,,,,,,,,,,,110000
2160 Greentree Rd #503W,https://www.trulia.com/p/pa/pittsburgh/2160-greentree-rd-503w-pittsburgh-pa-15220--2333893339,2,2,"1,216","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Condo,"1,216 sqft",1968,,,,,Off Street,,,,,,116250
1145 Margray St,https://www.trulia.com/p/pa/pittsburgh/1145-margray-st-pittsburgh-pa-15207--1142152212,4,2,"1,152","['Last Sold: Apr 2, 2019', '']",0,0,0,0,0,Single Family Home,,1922,,Central,,,,,,,Other,Shingle (Not Wood),28500
145 Henderson St,https://www.trulia.com/p/pa/pittsburgh/145-henderson-st-pittsburgh-pa-15212--1116530407,4,2,"2,381","['Last Sold: Apr 2, 2019', '3% below list $315K']",1,1,1,1,1,Single Family Home,"5,442 sqft",1920,7,Baseboard,Gas,Central,On Street,,Colonial,,Brick,Composition,305000
2641 Fairgreen Dr,https://www.trulia.com/p/pa/pittsburgh/2641-fairgreen-dr-pittsburgh-pa-15241--2014304606,3,1,"1,324","['Last Sold: Apr 2, 2019', '9% below list $435K']",1,1,0,0,1,Single Family Home,0.36 acres,1960,12,Forced Air,Gas,Central,,2,Colonial,,,Composition,398000
512 Brushglen Ln,https://www.trulia.com/p/pa/pittsburgh/512-brushglen-ln-pittsburgh-pa-15236--2014262501,3,2,950,"['Last Sold: Apr 2, 2019', '10% over list $162K']",0,0,0,0,0,Single Family Home,"10,252 sqft",1959,5,Other,,,Attached Garage,1,Ranch,,Brick,Shake Shingle,180000
301 Paris Rd,https://www.trulia.com/p/pa/pittsburgh/301-paris-rd-pittsburgh-pa-15235--1118021194,3,1,"1,218","['Last Sold: Apr 2, 2019', '1% below list $69.5K']",0,1,1,1,0,Single Family Home,"7,101 sqft",1948,6,Forced Air,Gas,Central,Off Street,1,Colonial,,Brick,Composition,68930
2442 Edgebrook Ave,https://www.trulia.com/p/pa/pittsburgh/2442-edgebrook-ave-pittsburgh-pa-15226--2014202165,2,1,"1,050","['as of Dec 11, 2019', 'as of Dec 11, 2019']",0,0,1,1,0,Single Family Home,"3,909 sqft",1954,,,,,Off Street,,,,,,122848
1409 Methyl St,https://www.trulia.com/p/pa/pittsburgh/1409-methyl-st-pittsburgh-pa-15216--2014138907,4,2,"1,901","['Last Sold: Apr 1, 2019', '']",0,0,0,0,0,Multi Family,,1910,10,Central,,,,,,,Other,Slate,143500
120 Lamesa St,https://www.trulia.com/p/pa/pittsburgh/120-lamesa-st-pittsburgh-pa-15223--2014191515,2,1,"1,068","['Last Sold: Apr 1, 2019', '']",0,0,0,0,0,Single Family Home,,1930,5,Central,,,,,,,Masonry,Shingle (Not Wood),51425
3146 Josephine St,https://www.trulia.com/p/pa/pittsburgh/3146-josephine-st-pittsburgh-pa-15203--2014046890,2,2,"1,149","['Last Sold: Apr 1, 2019', '19% below list $190K']",0,0,0,0,0,Single Family Home,"6,970 sqft",1915,3,Forced Air,Gas,Central,Attached Garage,2,Colonial,,,Shake Shingle,160000
